Words,AROU,VAL,DOM,CNC,IMAG
sword,5.714,4.147,6.212,6.618,6.677
syllable,3.471,5.303,5.03,4.364,3.273
symbol,4.636,5.469,5.576,4.387,4.576
sympathy,5.294,6.088,5.177,2.206,3.324
symphony,5.382,6.971,5.03,5,4.457
symptom,4.226,3.5,3.265,3.97,3.971
synagogue,2.971,5.121,4.353,6.375,5.813
syphilis,5.065,1.677,3.233,5.125,2.933
syringe,5.469,3.438,3.645,6.552,6.4
system,3.813,4.771,4.265,3.971,3.6
table,3.357,5.129,5.033,6.704,6.792
table (chart),2.943,4.971,5.229,5.686,6.086
table (desk),3.171,5.2,5.206,6.743,6.647
tablespoon,2.636,5.485,5.303,6.546,6.758
taboo,5.657,3.206,4.118,2.286,2.429
tact,3.677,5.758,5.182,2.6,2.371
tail,3.939,5,5.281,6.161,6.344
take,4.265,4.382,6.636,4.118,3.886
tale,5.029,5.889,6.029,3.286,4.235
talent,6.515,7.594,6.606,3.281,4.364
talented,6.588,8.206,6.912,2.824,4.333
tall,5.094,6.324,6.406,5.294,6.441
tame,3.424,5.485,4.485,3.061,3.667
tamper,4.706,3.147,5.057,3.727,3.382
tandem,4.036,5.5,4.214,4.613,4.643
tangerine,4.343,5.743,5.486,6.543,6.514
tango,5.879,5.912,5.355,5.242,5.323
tango (dance),6.5,6.559,6.515,5.343,6.121
tango (drink),4.5,5.813,5.636,6.353,6.353
tank,4.457,4,4.914,6.382,6.471
tank (army),4.25,3.355,4.406,6.788,6.419
tank (fish),3.471,5.371,5.171,6.758,6.794
tank (storage),3.265,5.412,5.121,6.029,5.303
tanker,3.655,4.3,5.267,6.036,5.556
tape,3.171,5.086,4.909,5.912,5.971
taper,3.393,5.039,4.704,4.704,4.5
tapestry,3.743,5.909,5.441,6.059,6.029
tarantula,5.618,3.382,4.4,6.867,6.657
target,5.594,5.212,5.455,5.303,5.794
tariff,3.059,4.059,4.559,4.235,3.177
taser,5.594,2.656,4.258,6.094,5.813
taste,6.182,6.882,5.849,4.152,3.088
tasty,6.912,7.647,5.971,2.939,3.281
taught,5.156,6.406,5.194,3.303,2.594
taxi,4.75,5.29,4.968,6.517,6.6
teach,4.9,7.182,6.121,3.656,3.548
teacher,4.97,6.364,4.219,5.393,5.276
team,4.968,6.807,5.516,4.6,5.033
tease,6.774,4.625,5,2.875,3.531
teasing,5.943,4.515,4.735,3.529,4.424
