,red_mean,red_std,green_mean,green_std,black_mean,black_std,white_mean,white_std,blue_mean,blue_std,brown_mean,brown_std,gray_mean,gray_std,yellow_mean,yellow_std,pink_mean,pink_std,purple_mean,purple_std
1245_1919_Woolf_Virginia,0.8051473840029424,0.14828103774025644,0.8015772556339477,0.15523905148584669,0.737340249495473,0.1489113266329689,0.8164745334613982,0.19145984811711758,0.7685948764430556,0.1782191755391953,0.7981503853221895,0.1383247490402271,0.7943456699967963,0.11726260074149356,0.7673311474815627,0.13212706185162404,0.6634464818536422,0.2654589178345289,0.7153984982746295,0.16378674386373016
1260_1847_Brontë_Charlotte,0.7921432169350986,0.15676247340783903,0.6970604216219798,0.20521978138431543,0.7782526122816714,0.1788678648940301,0.701103804049631,0.22700346089187948,0.7060594668318241,0.2085266636821415,0.826471461877943,0.1591675986729964,0.7411958378529097,0.16621719512441768,0.7674899157339077,0.12342457734084279,0.6653182036608924,0.21598062928264142,0.7480943225907715,0.18173678983254607
12677_1914_Ferber_Edna,0.8620874504839818,0.06666574917626582,0.9364989636329377,0.0,0.8355608879520281,0.12746600912582032,0.6547087273130097,0.29673780568027697,0.8056230206660152,0.1332266089303657,0.8023134787495536,0.09605435350743849,0.8044378453781764,0.08893228936059822,0.7211230450348598,0.21157875657284225,0.5548833901245468,0.26081903402259266,0.0,0.0
1327_1898_Von_Arnim_Elizabeth,0.7738556420371694,0.2163331904115618,0.8120197336448062,0.11801947618230618,0.7845298662144338,0.15939747984198133,0.7689171149443332,0.1598361264675439,0.7439129106659707,0.12150026063467136,0.809967966836254,0.13218390804597707,0.6032977693799514,0.13303038136333367,0.7276632777008607,0.16271410832334407,0.7891756261483672,0.21329581760237884,0.6495874771277881,0.2250030019671982
1342_1813_Austen_Jane,0.7238899708265906,0.21618916993089965,0.5610185596004112,0.14285704248450912,0.9871867345016018,0.0,0.6230403097604629,0.23599242180930202,0.9400791407574902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2741661955907293,0.0,0.0,0.0
1400_1861_Dickens_Charles,0.7745618912076151,0.1970569048361282,0.780371395829092,0.15096955057583758,0.7729637791234499,0.18885380523607098,0.7588400379197328,0.19929093357740232,0.832493447657285,0.12200271266238771,0.8791555148431625,0.07972632858083205,0.9059261352930094,0.04860579236912727,0.7417745697806061,0.171907059308309,0.5363317131996155,0.0,0.6587996985114001,0.2584823631296224
145_1871_Eliot_George,0.6836550375983599,0.22146680814309938,0.7559786998853486,0.1557750709431766,0.7015266545232097,0.20764912539758143,0.7358491682281824,0.17452497809483913,0.7723427852122589,0.19468062605833805,0.69620270216212,0.23851734427182375,0.7647712262982344,0.16307843055430565,0.5869163788139548,0.318297019055831,0.6065396603805457,0.19771493348705008,0.6272042275373604,0.13628333335337828
15265_1911_Du_Bois_W._E._B._,0.7109792522445777,0.2191669502887876,0.6766148499529567,0.21622164963277493,0.7086243589149146,0.1863087974597641,0.7426694533498988,0.1795291901251059,0.8079894478990014,0.24842793432911844,0.7852287555862073,0.15080650921926336,0.6893366582474597,0.16226952091986618,0.8208602387934248,0.08288856601662158,0.6159788957980027,0.012436404748445429,0.840625588844922,0.15661193801937484
155_1868_Collins_Wilkie,0.7500265117390138,0.16200314582450356,0.8865570425987244,0.0,0.8157635252362612,0.15993883319760938,0.7588092334308009,0.18218263354500444,0.0,0.0,0.8261056825217369,0.09833029945651756,0.7392650691156044,0.17052357456528225,0.6930888432207049,0.22565060975414286,0.7673783115305559,0.1760500923528895,0.0,0.0
158_1815_Austen_Jane,0.6810974780001927,0.04721769657942765,0.7227503783749574,0.018209206338024864,0.6537380218505859,0.12372589069854015,0.83228884594396,0.09720690443011759,0.8765411872816149,0.03998415660381949,0.0,0.0,0.9165253438854344,0.0,0.6554191708564758,0.10743129253387451,0.7176279494255664,0.16886185357177702,0.7145229578018188,0.0
