,red_mean,red_std,green_mean,green_std,black_mean,black_std,white_mean,white_std,blue_mean,blue_std,brown_mean,brown_std,gray_mean,gray_std,yellow_mean,yellow_std,pink_mean,pink_std,purple_mean,purple_std
1245_1919_Woolf_Virginia,0.8342230816517148,0.13602712151630172,0.847543400010842,0.15375375711468364,0.747180398330128,0.17889227819882425,0.8193166742472123,0.19033795368109926,0.8140395170831777,0.17573647047375446,0.7688488223498714,0.16198509441832717,0.8822216661952176,0.10297564857980833,0.8138718073135334,0.11123916885313215,0.7033066680851026,0.2460802361954703,0.7700310624478589,0.17875475507626915
1260_1847_Brontë_Charlotte,0.8350165529990414,0.13105529629216342,0.7209143029120704,0.19235231537941916,0.7862948141386586,0.1986935895484363,0.7244167979156294,0.23690131062559525,0.7448751668330383,0.21514154088265602,0.8445845596875985,0.14662733490172833,0.7504569355581826,0.1659722253806217,0.8514398791501073,0.06581246957362029,0.7467784481104478,0.18147586050750156,0.7428779898661393,0.18740152709747798
12677_1914_Ferber_Edna,0.8657727094146188,0.08433709357961024,0.9281322059953883,0.0,0.8440010097189925,0.126715269430275,0.7294244302870924,0.24004346471974536,0.8122780486455377,0.15801288764710245,0.8001044130374186,0.13478415632002316,0.8618162318983966,0.06436030582617386,0.763579297975916,0.15863844999870216,0.5568495460490279,0.23831021812579806,0.0,0.0
1327_1898_Von_Arnim_Elizabeth,0.7948441463206445,0.21796978941135708,0.8382229114772008,0.11049003488318866,0.8185049961568025,0.15646398950691098,0.7903015615748459,0.16751759836573485,0.751983600520428,0.14174286600524874,0.8292659492697925,0.11808224442736359,0.6894720470694556,0.13861371180778853,0.761548642092963,0.1534523732683625,0.8435526576509317,0.16285483722104693,0.6416911637353049,0.218611852710635
1342_1813_Austen_Jane,0.7616349863923577,0.2126155900872735,0.6286011099540482,0.01278768027091445,0.9782859338970024,0.0,0.7014058097001988,0.1913942146066997,0.9742505764796312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19619523443504996,0.0,0.0,0.0
1400_1861_Dickens_Charles,0.7984679031830214,0.1770684949473169,0.7954392444780477,0.16453176939728809,0.7891251417577793,0.18278314419549116,0.7717707319868059,0.16985441412249133,0.8744109901489932,0.12357616484378532,0.8837172731906062,0.08086618424156458,0.9107897770945428,0.03557044254405773,0.7418384742074797,0.21035062706388122,0.5830525755882263,0.0,0.691054957724827,0.20791984511405676
145_1871_Eliot_George,0.6865085161386023,0.23051421153579915,0.7851290550013247,0.16144566841261432,0.7042953416646658,0.21291305651390457,0.7703935563848877,0.18345571140202196,0.8047743155487128,0.18857868474461079,0.7249495412754268,0.22271028523424427,0.7855772963860326,0.1657015196994096,0.5696055259791332,0.30108824811250445,0.6015764319878372,0.2004674655434712,0.6579370114044627,0.15354021379434107
15265_1911_Du_Bois_W._E._B._,0.7810765732747336,0.19130406748805623,0.7267750981348525,0.20439412530619872,0.7544324123107559,0.17266275077190174,0.7647121029683286,0.17849166683399176,0.8713249423520368,0.15436072481865046,0.8278277997178525,0.16496677115833966,0.6810022408419415,0.22085893827140812,0.866046735767276,0.0770387792425595,0.6750576479631053,0.144119907763259,0.9050730207532668,0.1127694621911806
155_1868_Collins_Wilkie,0.8027525777778788,0.11527184251382502,0.8470258116722107,0.0,0.8280297879267091,0.13888691237370251,0.7500063524927767,0.2042116266322199,0.0,0.0,0.9124849017239487,0.04500631834453859,0.7981315682646969,0.18353817444560733,0.7505023928489436,0.19479606295543223,0.8108494567651185,0.15909061226715548,0.0,0.0
158_1815_Austen_Jane,0.6285443597807507,0.05975112380842168,0.7258948749482494,0.08677112398745007,0.5845676561196645,0.20032305683317142,0.8344830846804825,0.10941437826287782,0.9211093651891029,0.050643132889298226,0.0,0.0,0.9717524980784011,0.0,0.6457070112228394,0.08474123477935791,0.7597406412618698,0.18216741635152364,0.7328382730484009,0.0
160_1899_Chopin_Kate,0.7276632611587541,0.19269667295514414,0.7708959017985809,0.15900508912410372,0.8146091493328137,0.17067642971338223,0.829581676356532,0.1547489065194377,0.7575029723155612,0.16843924329284063,0.8239847865546825,0.11389962592594377,0.8426876564613351,0.15483614589035,0.8051357884690178,0.15459208495630147,0.5739682763814926,0.19768525660037994,0.5657183069419837,0.11973748240476507
16357_1788_Wollstonecraft_Mary,0.0,0.0,0.8144349201563044,0.12484255870610911,0.6951000795375375,0.17499984359851162,0.6643084698523004,0.17089371524160898,0.0,0.0,0.0,0.0,0.9215987701767872,0.0,0.0,0.0,0.4089168310165405,0.0,0.0,0.0
1661_1892_Doyle_Arthur_Conan,0.7185667970600524,0.19642824457339697,0.7952969545018552,0.06837442424686856,0.7798200026691141,0.19183933669966158,0.7684709017345093,0.23206938315072836,0.858030025576339,0.15399520045696544,0.781103046104415,0.09213455012322416,0.8130321717372223,0.12718288673326597,0.8165876068214926,0.12557825654957286,0.6320865062408315,0.11243621684678741,0.7577823432384319,0.21598920321573903
1695_1908_Chesterton_G._K._,0.7889397429306629,0.21005853924722173,0.8016084791825668,0.1574821367393633,0.7363484411112529,0.1892282285913469,0.7830484070100624,0.1729170753659784,0.7474929668558719,0.19005041715273918,0.8621493082244427,0.17794715178053322,0.812842286549618,0.19016786107231798,0.8204701214776783,0.2035081870685263,0.8722136817832437,0.0,0.7767546108188673,0.231795428133565
171_1791_Rowson_Mrs.,0.8473289777094544,0.1269215987701769,0.0,0.0,0.7514366964300626,0.2958954022610997,0.6634936167923207,0.25852233582545464,0.9224634896233666,0.04928900845503453,0.7555923907918073,0.17253981520358097,0.9301498847040739,0.0020176787086855774,0.2726748654880861,0.0,0.45160414714890207,0.23038306556131863,0.9492697924673328,0.0
174_1890_Wilde_Oscar,0.7735651792332725,0.19579431864702734,0.788561435256761,0.180469118641825,0.8086701955021736,0.15958975089254,0.7581050633186435,0.1857184513301354,0.8012732992446044,0.17609444946545774,0.8612267676197156,0.07900081689146511,0.5865543236335119,0.14942156002487553,0.8689146563035335,0.09787778460357331,0.8537670815339187,0.07744694645258714,0.7193044878319682,0.18565011982609345
18581_1904_Alger_Horatio_Jr.,0.9591660261337434,0.01911990776325906,0.0,0.0,0.7907912118554634,0.19405425509033317,0.9129515757109917,0.0438662181162699,0.0,0.0,0.9252498078401229,0.0,0.674963168748336,0.2846987999275745,0.0,0.0,0.9212144504227517,0.0,0.0,0.0
